name,city,county,rating,route
"Acme Pharma Limited","Welwyn Garden City",,"Worker (A rating)","Skilled Worker"
"AJ ZION LIMITED","BOURNEMOUTH",,"Worker (A rating)","Skilled Worker"
"AK Autos Ltd","Birmingham",,"Worker (A rating)","Skilled Worker"
"Argent Design Limited","London",,"Worker (A rating)","Skilled Worker"
"ARK WORLDWIDE LTD","London",,"Worker (A rating)","Skilled Worker"
"AS Global Care Recruitment T/A Visiting Angels Birmingham Ltd","Birmingham",,"Worker (A rating)","Skilled Worker"
"Ashaaz Ltd","Coventry",,"Worker (A rating)","Skilled Worker"
"Bargain Health Care Ltd","Ilford",,"Worker (A rating)","Skilled Worker"
"Big Little Technology Limited (trading as beloFX)","Altrincham","Cheshire","Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Big Little Technology Limited (trading as beloFX)","Altrincham","Cheshire","Worker (A rating)","Skilled Worker"
"BLING JEWELLERS LTD","London",,"Worker (A rating)","Skilled Worker"
"Blitz Fibre Limited","London",,"Worker (A rating)","Skilled Worker"
"Britannia Fast Food Liverpool","Liverpool",,"Worker (A rating)","Skilled Worker"
"Brookfields PNH Ltd","Derby",,"Worker (A rating)","Skilled Worker"
"Brownlow Enterprises Limited","Finchley","London","Worker (A rating)","Skilled Worker"
"C.A.Blackwell (Contracts) Ltd","Durham",,"Worker (A rating)","Skilled Worker"
"CATERMARKE LTD","BIRMINGHAM",,"Worker (A rating)","Skilled Worker"
"Claremont Park Limited","Edinburgh",,"Worker (A rating)","Skilled Worker"
"Consolidated Logistics Services Limited","Slough",,"Worker (A rating)","Skilled Worker"
"Costa Limited","High Wycombe","Buckinghamshire","Worker (A rating)","Skilled Worker"
"Curve UK Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Dalgety Limited","Burton on Trent",,"Worker (A rating)","Skilled Worker"
"Deeveet Care Ltd","Birmingham",,"Worker (A rating)","Skilled Worker"
"DIVINE ESTATES GROUP LTD","LONDON",,"Worker (UK Expansion Worker: Provisional)","Global Business Mobility: UK Expansion Worker"
"Dockham Surgery","Cinderford","Gloucestershire","Worker (A rating)","Skilled Worker"
"EASY SHOPPING 4 HOME LTD","OLDBURY",,"Worker (A rating)","Skilled Worker"
"ECSI LTD","Mitcham","Surrey","Worker (A rating)","Skilled Worker"
"Eddify Limited","London",,"Worker (A rating)","Skilled Worker"
"ELMET KITCHEN (SHERBURN) LTD TA Elmet Kitchen","Leeds",,"Worker (A rating)","Skilled Worker"
"Enhanceable","Kingston upon Thames",,"Worker (A rating)","Skilled Worker"
"EVERFLAVOUR LTD","Scarborough",,"Worker (A rating)","Skilled Worker"
"Exemplar Health Care","Rotherham","South Yorkshire","Worker (A rating)","Skilled Worker"
"FlatexDegiro UK Limited","London",,"Worker (A rating)","Skilled Worker"
"Footasylum Limited","Rochdale",,"Worker (A rating)","Skilled Worker"
"Forsyth of Denny","Stirling",,"Worker (A rating)","Skilled Worker"
"GCB COCOA UK LTD","Glemsford","Suffolk","Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Gleamlite Services Limited","Worksop",,"Worker (A rating)","Skilled Worker"
"Go Modular Technologies (UK) Ltd","South Hampshire Industria",,"Worker (A rating)","Skilled Worker"
"Harlow Specsavers Limited","Harlow",,"Worker (A rating)","Skilled Worker"
"ICAD HOLDING LTD","London",,"Worker (A rating)","Skilled Worker"
"Invoka Consulting","London","London","Worker (A rating)","Skilled Worker"
"JDX CONSULTING LTD","London",,"Worker (A rating)","Skilled Worker"
"JDX CONSULTING LTD","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Jerboa Consulting Ltd","London",,"Worker (A rating)","Skilled Worker"
"Kaspa Southwest Ltd","Milton Keynes",,"Worker (A rating)","Skilled Worker"
"KITALL LTD","LONDON","Greater London","Worker (A rating)","Skilled Worker"
"Kokul Services Limited","Mitcham",,"Worker (A rating)","Skilled Worker"
"Langstone Quays Limited","Hampshire",,"Worker (A rating)","Skilled Worker"
"LEWIS PROPERTY NW LTD TA LEWIS PROPERTY","Manchester",,"Worker (A rating)","Skilled Worker"
"Lighton Management Solutions Ltd","London",,"Worker (A rating)","Skilled Worker"
"M R CARPETS AND FURNITURE","PETERBOROUGH","CAMBRIDGSHIRE","Worker (A rating)","Skilled Worker"
"M&C CARE SERVICES LTD T/A CAREMARK BARKING AND DAGENHAM","BARKING","ESSEX","Worker (A rating)","Skilled Worker"
"MA Food Store Ltd","Manchester",,"Worker (A rating)","Skilled Worker"
"MAL CONTRACTORS LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"MediaKind Systems UK Limited","Southampton",,"Worker (A rating)","Skilled Worker"
"Melody Maker Ltd","London",,"Worker (A rating)","Skilled Worker"
"Naina Technologies Ltd","London",,"Worker (A rating)","Skilled Worker"
"NALA PAYMENTS LIMITED","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"NALA PAYMENTS LIMITED","London",,"Worker (A rating)","Skilled Worker"
"Olive Bedford LTD","bedford",,"Worker (A rating)","Skilled Worker"
"On Fleek Tech Ltd","London",,"Worker (A rating)","Skilled Worker"
"PARAMTHAVA & CO LTD","Nottingham",,"Worker (A rating)","Skilled Worker"
"Personio GmbH & Co KG (UK branch)","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Personio GmbH & Co KG (UK branch)","London",,"Worker (A rating)","Skilled Worker"
"Pipers Corner School","High Wycombe","BUCKS","Worker (A rating)","Skilled Worker"
"QASSS LTD","Manchester",,"Worker (A rating)","Skilled Worker"
"Qian Limited","Slough",,"Worker (A rating)","Skilled Worker"
"Quality Care Resourcing","Brentwood",,"Worker (A rating)","Skilled Worker"
"Riaar Plastics Ltd","West Bromwich",,"Worker (A rating)","Skilled Worker"
"RU Future Ltd","Ilford",,"Worker (A rating)","Skilled Worker"
"Ruth Miskin Literacy Ltd.","London",,"Worker (A rating)","Skilled Worker"
"Saltdean & Rottingdean Medical Practice","Brighton",,"Worker (A rating)","Skilled Worker"
"Sam Accountants Ltd","North Harrow",,"Worker (A rating)","Skilled Worker"
"SANAI FITNESS4U LIMITED","Manchester",,"Worker (A rating)","Skilled Worker"
"SAVO PROJECT DEVELOPERS LTD","London",,"Worker (A rating)","Skilled Worker"
"Seyon Ltd T/As BP  Chertsey Service Station","Chertsey",,"Worker (A rating)","Skilled Worker"
"Sierra Nevada Corporation Mission Systems UK Ltd","St Athan",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Sierra Nevada Corporation Mission Systems UK Ltd","St Athan",,"Worker (A rating)","Skilled Worker"
"Signature Realtors Ltd","CARDIFF",,"Worker (A rating)","Skilled Worker"
"SPACEPM LIMITED","London",,"Worker (A rating)","Skilled Worker"
"Starlike Consulting Ltd","Woking","Surrey","Worker (A rating)","Skilled Worker"
"Station Cars Oxted Limited","Oxted",,"Worker (A rating)","Skilled Worker"
"Stephen Taylor Architects Ltd","London",,"Worker (A rating)","Skilled Worker"
"Studio 5 Games Limited","Wimborne","Dorset","Worker (A rating)","Skilled Worker"
"Style Nation By Kimmy Limited","Reading",,"Worker (A rating)","Skilled Worker"
"Swann Engineering Group","Tonbridge","Kent","Worker (A rating)","Skilled Worker"
"Taste of Lahore (Hounslow) Limited","London",,"Worker (A rating)","Skilled Worker"
"TBC CREATIVE SERVICES & CONSULTANCY LTD","London",,"Worker (A rating)","Skilled Worker"
"Tectok IT Solutions Ltd","Folkestone",,"Worker (A rating)","Skilled Worker"
"Thaara Service Station Limited","Lampeter",,"Worker (A rating)","Skilled Worker"
"The Bull Charlbury Ltd","London",,"Worker (A rating)","Skilled Worker"
"THE RIVER CAFE LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"The Sushi Co Ltd","London",,"Worker (A rating)","Skilled Worker"
"The Urban Chocolatier Ilford Limited"," Essex",,"Worker (A rating)","Skilled Worker"
"Thornlink Limited","Pencoed","Bridgend","Worker (A rating)","Skilled Worker"
"Transcal Engineering Limited","Pershore","Worcestershire","Worker (A rating)","Skilled Worker"
"Trinity London Concierge Limited","London",,"Worker (A rating)","Skilled Worker"
"Trivandi Limited","London",,"Worker (A rating)","Skilled Worker"
"Trust Care Limited","Doncaster",,"Worker (A rating)","Skilled Worker"
"Utopia Care Limited","Thetford","Norfolk","Worker (A rating)","Skilled Worker"
"Venatus","Farringdon","London","Worker (A rating)","Skilled Worker"
"Vivek Thuraisingam T/A St Andrews News and Orion News","Burgess Hill",,"Worker (A rating)","Skilled Worker"
"Wandsworth Pubs Ltd","Belfast","Co Antril","Worker (A rating)","Skilled Worker"
"Westongrove PMS Partnership","Aston Clinton","Bucks","Worker (A rating)","Skilled Worker"
"WH TRADING UKCT LTD","London","England","Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"White Horse Caravan Company Limited","Selsey","West Sussex","Worker (A rating)","Skilled Worker"
