name,city,county,rating,route
"Admix","London",,"Worker (A rating)","Skilled Worker"
"Bowling and Co Solicitors","Stratford","London","Worker (A rating)","Skilled Worker"
"CG Theron Construction Ltd","Gloucester",,"Worker (A rating)","Skilled Worker"
"EDI SYSTEMS LTD","Amersham","Buckinghamshire","Worker (A rating)","Skilled Worker"
"Fluidigm UK Limited","London",,"Worker (A rating)","Skilled Worker"
"Freedom Sportsline Ltd T/A Foot Locker UK Ltd","London",,"Worker (A rating)","Skilled Worker"
"Freedom Sportsline Ltd T/A Foot Locker UK Ltd","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Gophr Limited","London",,"Worker (A rating)","Skilled Worker"
"Jeffreys Henry Business Services Limited","London",,"Worker (A rating)","Skilled Worker"
"Low Emissions Resources Global Ltd","Dundee",,"Worker (A rating)","Skilled Worker"
"Low Emissions Resources Global Ltd","Dundee",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Maisonneuve & Co","London",,"Worker (A rating)","Skilled Worker"
"MARTWORLD CARE SERVICES LIMITED","Dudley","WEST MIDLANDS","Worker (A rating)","Skilled Worker"
"MHA Structural Design Ltd","London",,"Worker (A rating)","Skilled Worker"
"NATION CARE AGENCY LTD","Hounslow",,"Worker (A rating)","Skilled Worker"
"NEPALESE RESTAURANT BENFLEET LIMITED","Benfleet",,"Worker (A rating)","Skilled Worker"
"NHS North West London Clinical Commissioning Group","London",,"Worker (A rating)","Skilled Worker"
"Ofsted","London",,"Worker (A rating)","Skilled Worker"
"Plato Media Limited","London",,"Worker (A rating)","Skilled Worker"
"Pomerol Partners Ltd","London",,"Worker (A rating)","Skilled Worker"
"Rexel UK Limited","Sheldon","Birmingham","Worker (A rating)","Skilled Worker"
"Rexel UK Limited","Sheldon","Birmingham","Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Ricor Limited","Studley","Wawickshire","Worker (A rating)","Skilled Worker"
"S J Care Homes (Wallasey) Limited","Northwood","Middlesex","Worker (A rating)","Skilled Worker"
"Sinai Synagogue, Leeds","Leeds",,"Worker (A rating)","Tier 2 Ministers of Religion"
"Sinomax International Ltd","London","London","Worker (A rating)","Skilled Worker"
"Tegasys Solutions UK Limited","West Drayton","Middlesex","Worker (A rating)","Skilled Worker"
"The Royal Foundation of The Duke and Duchess of Cambridge","London",,"Worker (A rating)","Skilled Worker"
