"Adept Contracts Ltd","London",,"Worker (A rating)","Skilled Worker"
"Blue Shark Design Ltd","Newcastle upon Tyne","Tyne and Wear","Worker (A rating)","Skilled Worker"
"BRACEWELL (UK) LLP","LONDON",,"Worker (A rating)","Skilled Worker"
"BRACEWELL (UK) LLP","LONDON",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Christ Apostolic Church God is Love.","London","London","Temporary Worker (A rating)","Religious Worker"
"Christ Apostolic Church God is Love.","London","London","Temporary Worker (A rating)","Charity Worker"
"Christ Apostolic Church God is Love.","London","London","Worker (A rating)","Tier 2 Ministers of Religion"
"CLIMPSON & SONS LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"Evolutionary Systems Company Limited","North Harrow","Middlesex","Worker (A rating)","Skilled Worker"
"Evolutionary Systems Company Limited","North Harrow","Middlesex","Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Lucchini Unipart Rail Ltd","Manchester","Greater Manchester","Worker (A rating)","Skilled Worker"
"Optimum Youth Care Limited","Harrow",,"Worker (A rating)","Skilled Worker"
"White Horse Machinery Limited","Leeds",,"Worker (A rating)","Skilled Worker"
"Whittington Cricket Club","Stafford","Staffordshire","Worker (A rating)","International Sportsperson"
